日付,競馬場,レース番号,馬券種別,枠番,倍率,購入金額,的中,払い戻し,収支(Total),収支(税務上),収支差
2025/06/15,函館,12R,ワイド,05–09,7.7,200,False,0,-¥200,¥0,-200
2025/06/15,函館,12R,ワイド,07–09,3.8,400,False,0,-¥400,¥0,-400
2025/06/22  ,函館   ,9R        ,単勝,4,5.8,100,False,0,-¥100,¥0,-100
2025/06/22  ,函館   ,9R        ,複勝,4,1.7,100,False,0,-¥100,¥0,-100
2025/06/22  ,函館   ,9R        ,ワイド,04–08    ,5.6,200,False,0,-¥200,¥0,-200
2025/06/22  ,函館   ,9R        ,ワイド,04–10    ,3.2,300,False,0,-¥300,¥0,-300
2025/06/22  ,阪神   ,9R        ,ワイド,03–04    ,3.1,200,False,0,-¥200,¥0,-200
2025/06/22  ,阪神   ,9R        ,ワイド,04–06    ,3.0,300,False,0,-¥300,¥0,-300
2025/06/22  ,阪神   ,9R        ,ワイド,04–08    ,3.4,200,True,680,¥480,¥480,480
2025/06/22  ,阪神   ,9R        ,単勝,4,2.2,300,False,0,-¥300,¥0,-300
2025/06/22  ,函館   ,12R       ,単勝,9,2.9,400,True,1160,¥760,¥760,760
2025/06/22  ,函館   ,12R       ,複勝,9,1.4,300,True,420,¥120,¥120,120
2025/06/22  ,函館   ,12R       ,ワイド,02–09   ,3.4,300,True,1020,¥720,¥720,720
2025/06/22  ,函館   ,12R       ,ワイド,08–09   ,8.0,300,False,0,-¥300,¥0,-300
2025/06/26,佐賀,8R,単勝,2,1.8,100,True,180,¥80,¥80,80
2025/06/26,佐賀,8R,複勝,2,1.0,100,True,100,¥0,¥0,0
2025/06/26,佐賀,8R,ワイド,02–05,3.6,100,False,0,-¥100,¥0,-100
2025/06/26,佐賀,8R,ワイド,02–06,2.6,100,True,260,¥160,¥160,160
2025/06/26,浦和,11R,ワイド,02–04,4.4,200,True,880,¥680,¥680,680
2025/06/26,浦和,11R,ワイド,04–07,3.9,100,False,0,-¥100,¥0,-100
2025/06/26,浦和,11R,馬連,02–04,14.0,100,True,1400,¥1300,¥1300,1300
2025/06/26,浦和,11R,単勝,4,4.1,200,False,0,-¥200,¥0,-200
2025/06/26,浦和,11R,複勝,4,1.9,100,True,190,¥90,¥90,90
2025/06/26,浦和,12R,単勝,4,4.1,300,False,0,-¥300,¥0,-300
2025/06/26,浦和,12R,複勝,3,2.9,100,False,0,-¥100,¥0,-100
2025/06/26,浦和,12R,ワイド,03–04,8.9,100,False,0,-¥100,¥0,-100
2025/06/26,浦和,12R,ワイド,04–06,5.1,300,False,0,-¥300,¥0,-300
2025/06/26,浦和,12R,馬連,04–06,9.5,100,False,0,-¥100,¥0,-100
2025/07/01,水沢,6R,単勝,4,2.0,200,True,400,¥200,¥200,200
2025/07/01,水沢,6R,複勝,4,1.2,100,True,120,¥20,¥20,20
2025/07/01,水沢,6R,ワイド,01–04,3.8,100,False,0,-¥100,¥0,-100
2025/07/01,水沢,6R,ワイド,04–07,2.0,200,True,400,¥200,¥200,200
2025/07/01,水沢,6R,ワイド,04–10,3.7,100,False,0,-¥100,¥0,-100
2025/07/01,水沢,7R,単勝,9,3.3,300,False,0,-¥300,¥0,-300
2025/07/01,水沢,7R,複勝,9,1.5,200,True,300,¥100,¥100,100
2025/07/01,水沢,7R,ワイド,02–07,3.0,100,False,0,-¥100,¥0,-100
2025/07/01,水沢,7R,ワイド,02–09,4.4,300,False,0,-¥300,¥0,-300
2025/07/01,水沢,7R,ワイド,07–09,4.6,200,False,0,-¥200,¥0,-200
2025/07/01,水沢,8R,単勝,7,2.5,300,False,0,-¥300,¥0,-300
2025/07/01,水沢,8R,複勝,7,1.4,300,True,420,¥120,¥120,120
2025/07/01,水沢,8R,ワイド,05–07,2.3,200,False,0,-¥200,¥0,-200
2025/07/01,水沢,8R,ワイド,07–10,3.4,400,True,1360,¥960,¥960,960
2025/07/01,水沢,8R,馬連,07–10,6.5,200,True,1300,¥1100,¥1100,1100
2025/07/01,金沢,10R,単勝,3,2.0,300,False,0,-¥300,¥0,-300
2025/07/01,金沢,10R,ワイド,03–06,2.2,200,True,440,¥240,¥240,240
2025/07/01,金沢,10R,ワイド,03–07,1.9,300,True,570,¥270,¥270,270
2025/07/01,金沢,10R,馬連,03–07,3.3,200,True,660,¥460,¥460,460
2025/07/01,金沢,10R,複勝,6,2.0,100,True,200,¥100,¥100,100
2025/07/02,園田,9R,単勝,1,1.9,300,True,570,¥270,¥270,270
2025/07/02,園田,9R,複勝,1,1.2,200,True,240,¥40,¥40,40
2025/07/02,園田,9R,ワイド,01–03,4.0,100,True,400,¥300,¥300,300
2025/07/02,園田,9R,ワイド,01–05,2.0,200,False,0,-¥200,¥0,-200
2025/07/02,門別,8R,単勝,7,2.4,400,False,0,-¥400,¥0,-400
2025/07/02,門別,8R,複勝,7,1.0,200,True,200,¥0,¥0,0
2025/07/02,門別,8R,馬連,07–08,12.0,200,False,0,-¥200,¥0,-200
2025/07/02,門別,8R,ワイド,01–07,2.3,200,True,460,¥260,¥260,260
2025/07/02,門別,8R,ワイド,07–08,3.2,300,False,0,-¥300,¥0,-300
2025/07/02,門別,8R,三連複,01–07–08,15.3,100,False,0,-¥100,¥0,-100
